student_id,question,subject,marks,total_marks,student_answer,model_answer
S009,Define ecosystem,Environmental Studies,5,10,It is related to Ecosystem is but I forgot details.,Ecosystem is interaction of living and nonliving components
S009,Explain lambda functions,Advanced Python,8,10,Lambda functions are small anonymous inline and more.,Lambda functions are small anonymous inline functions
S009,What is scheduling?,OS,4,10,I am not sure about this topic.,CPU scheduling decides process execution order
S010,Explain abstraction,Java,2,10,I am not sure about this topic.,Abstraction hides implementation details
S010,Explain nebula,Computers in Space & Astronomy,10,10,Nebula is cloud of gas and and more.,Nebula is cloud of gas and dust
S010,What is JVM?,Java,4,10,I am not sure about this topic.,JVM executes bytecode and provides platform independence
S010,What is sustainability?,Environmental Studies,4,10,I am not sure about this topic.,Sustainability meets needs without harming future
S010,Explain inheritance,Java,3,10,I am not sure about this topic.,Inheritance allows a class to acquire properties of another class
S010,Explain paging,OS,8,10,Paging divides memory into fixed size and more.,Paging divides memory into fixed size pages
S010,What is threading?,Advanced Python,4,10,I am not sure about this topic.,Threading allows concurrent execution of code
S010,Define orbit,Computers in Space & Astronomy,9,10,Orbit is curved path of celestial and more.,Orbit is curved path of celestial body
S010,What is IKS?,IKS,5,10,It is related to IKS studies but I forgot details.,IKS studies traditional Indian knowledge systems
S010,Explain Vedas,IKS,4,10,I am not sure about this topic.,Vedas are ancient sacred Indian scriptures
S011,Explain semaphore,OS,5,10,It is related to Semaphore controls but I forgot details.,Semaphore controls access to resources
S011,Define ecosystem,Environmental Studies,7,10,It is related to Ecosystem is but I forgot details.,Ecosystem is interaction of living and nonliving components
S011,Explain lambda functions,Advanced Python,4,10,I am not sure about this topic.,Lambda functions are small anonymous inline functions
S011,Explain list comprehension,Advanced Python,6,10,It is related to List comprehension but I forgot details.,List comprehension provides concise syntax for lists
S011,What is telescope?,Computers in Space & Astronomy,8,10,Telescope collects light to observe distant and more.,Telescope collects light to observe distant objects
S011,Explain Indian mathematics,IKS,6,10,It is related to Indian mathematics but I forgot details.,Indian mathematics contributed zero and algebra
S011,Explain pandas,Advanced Python,7,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S011,Define kernel,OS,7,10,It is related to Kernel manages but I forgot details.,Kernel manages hardware and system calls
S011,What is threading?,Advanced Python,6,10,It is related to Threading allows but I forgot details.,Threading allows concurrent execution of code
S011,Explain nebula,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Nebula is cloud of gas and dust
S012,Define kernel,OS,5,10,It is related to Kernel manages but I forgot details.,Kernel manages hardware and system calls
S012,Define polymorphism,Java,10,10,Polymorphism allows methods to take many forms including and more.,Polymorphism allows methods to take many forms including overriding
S012,What is scheduling?,OS,5,10,It is related to CPU scheduling but I forgot details.,CPU scheduling decides process execution order
S012,Explain Ayurveda,IKS,3,10,I am not sure about this topic.,Ayurveda is ancient Indian system of medicine
S012,What is OS?,OS,3,10,I am not sure about this topic.,OS manages hardware and software resources
S012,What is class?,Java,9,10,Class defines structure of and more.,Class defines structure of object
S012,Explain exception handling,Java,7,10,It is related to Exception handling but I forgot details.,Exception handling manages runtime errors
S012,Explain Dharma,IKS,5,10,It is related to Dharma refers but I forgot details.,Dharma refers to duty and ethics
S012,Explain carbon footprint,Environmental Studies,4,10,I am not sure about this topic.,Carbon footprint measures greenhouse gases
S012,Explain recycling,Environmental Studies,4,10,I am not sure about this topic.,Recycling converts waste into reusable material
S013,Define universe,Computers in Space & Astronomy,9,10,Universe includes all space matter and and more.,Universe includes all space matter and energy
S013,Define polymorphism,Java,4,10,I am not sure about this topic.,Polymorphism allows methods to take many forms including overriding
S013,What is class?,Java,4,10,I am not sure about this topic.,Class defines structure of object
S013,Explain satellites,Computers in Space & Astronomy,9,10,Satellites orbit planets for and more.,Satellites orbit planets for communication
S013,Explain Dharma,IKS,4,10,I am not sure about this topic.,Dharma refers to duty and ethics
S013,What is sustainability?,Environmental Studies,2,10,I am not sure about this topic.,Sustainability meets needs without harming future
S013,Define kernel,OS,9,10,Kernel manages hardware and system and more.,Kernel manages hardware and system calls
S013,Define galaxy,Computers in Space & Astronomy,10,10,Galaxy is a system of stars gas and and more.,Galaxy is a system of stars gas and dust
S013,Explain pollution,Environmental Studies,4,10,I am not sure about this topic.,Pollution is contamination of environment
S013,Explain OOP concepts,Java,2,10,I am not sure about this topic.,OOP uses encapsulation inheritance polymorphism abstraction
S014,Define ozone layer,Environmental Studies,5,10,It is related to Ozone layer but I forgot details.,Ozone layer protects from UV rays
S014,Explain multithreading,Advanced Python,7,10,It is related to Multithreading runs but I forgot details.,Multithreading runs tasks concurrently
S014,Explain generators,Advanced Python,7,10,It is related to Generators produce but I forgot details.,Generators produce sequence using yield
S014,What is threading?,Advanced Python,5,10,It is related to Threading allows but I forgot details.,Threading allows concurrent execution of code
S014,What is async?,Advanced Python,8,10,Async allows non blocking and more.,Async allows non blocking execution
S014,Explain paging,OS,5,10,It is related to Paging divides but I forgot details.,Paging divides memory into fixed size pages
S014,Explain nebula,Computers in Space & Astronomy,8,10,Nebula is cloud of gas and and more.,Nebula is cloud of gas and dust
S014,Define Yoga,IKS,5,10,It is related to Yoga is but I forgot details.,Yoga is physical mental spiritual practice
S014,Explain Dharma,IKS,4,10,I am not sure about this topic.,Dharma refers to duty and ethics
S014,Explain carbon footprint,Environmental Studies,6,10,It is related to Carbon footprint but I forgot details.,Carbon footprint measures greenhouse gases
S015,What is IKS?,IKS,2,10,I am not sure about this topic.,IKS studies traditional Indian knowledge systems
S015,Define Yoga,IKS,3,10,I am not sure about this topic.,Yoga is physical mental spiritual practice
S015,Explain inheritance,Java,8,10,Inheritance allows a class to acquire properties of another and more.,Inheritance allows a class to acquire properties of another class
S015,What is async?,Advanced Python,8,10,Async allows non blocking and more.,Async allows non blocking execution
S015,Explain paging,OS,2,10,I am not sure about this topic.,Paging divides memory into fixed size pages
S015,Define Gurukul,IKS,5,10,It is related to Gurukul is but I forgot details.,Gurukul is traditional Indian education system
S015,Explain GIL,Advanced Python,8,10,Global Interpreter Lock prevents multiple native threads and more.,Global Interpreter Lock prevents multiple native threads execution
S015,What is sustainability?,Environmental Studies,2,10,I am not sure about this topic.,Sustainability meets needs without harming future
S015,Explain recycling,Environmental Studies,2,10,I am not sure about this topic.,Recycling converts waste into reusable material
S015,Explain Vedas,IKS,3,10,I am not sure about this topic.,Vedas are ancient sacred Indian scriptures
S016,Explain lambda functions,Advanced Python,2,10,I am not sure about this topic.,Lambda functions are small anonymous inline functions
S016,Define polymorphism,Java,5,10,It is related to Polymorphism allows but I forgot details.,Polymorphism allows methods to take many forms including overriding
S016,Explain Ayurveda,IKS,5,10,It is related to Ayurveda is but I forgot details.,Ayurveda is ancient Indian system of medicine
S016,What is JVM?,Java,2,10,I am not sure about this topic.,JVM executes bytecode and provides platform independence
S016,Define thread,OS,10,10,Thread is smallest unit of execution within a and more.,Thread is smallest unit of execution within a process
S016,Explain pollution,Environmental Studies,3,10,I am not sure about this topic.,Pollution is contamination of environment
S016,Explain encapsulation,Java,4,10,I am not sure about this topic.,Encapsulation binds data and methods together restricting access
S016,Define Yoga,IKS,5,10,It is related to Yoga is but I forgot details.,Yoga is physical mental spiritual practice
S016,Explain deadlock,OS,8,10,Deadlock is a situation where processes wait and more.,Deadlock is a situation where processes wait indefinitely
S016,Explain GIL,Advanced Python,5,10,It is related to Global Interpreter but I forgot details.,Global Interpreter Lock prevents multiple native threads execution
S017,Explain multithreading,Advanced Python,5,10,It is related to Multithreading runs but I forgot details.,Multithreading runs tasks concurrently
S017,Explain list comprehension,Advanced Python,8,10,List comprehension provides concise syntax for and more.,List comprehension provides concise syntax for lists
S017,Define kernel,OS,4,10,I am not sure about this topic.,Kernel manages hardware and system calls
S017,Define orbit,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Orbit is curved path of celestial body
S017,Define interface,Java,7,10,It is related to Interface defines but I forgot details.,Interface defines methods without implementation
S017,Explain deadlock,OS,8,10,Deadlock is a situation where processes wait and more.,Deadlock is a situation where processes wait indefinitely
S017,Explain pandas,Advanced Python,5,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S017,Explain Dharma,IKS,8,10,Dharma refers to duty and and more.,Dharma refers to duty and ethics
S017,Explain water cycle,Environmental Studies,6,10,It is related to Water cycle but I forgot details.,Water cycle includes evaporation condensation precipitation
S017,Explain climate change,Environmental Studies,4,10,I am not sure about this topic.,Climate change refers to long term weather changes
S018,What is decorator?,Advanced Python,8,10,Decorators modify behavior of functions and more.,Decorators modify behavior of functions dynamically
S018,Explain pandas,Advanced Python,8,10,Pandas is used for data and more.,Pandas is used for data manipulation
S018,Explain Dharma,IKS,5,10,It is related to Dharma refers but I forgot details.,Dharma refers to duty and ethics
S018,Explain inheritance,Java,7,10,It is related to Inheritance allows but I forgot details.,Inheritance allows a class to acquire properties of another class
S018,Explain generators,Advanced Python,8,10,Generators produce sequence using and more.,Generators produce sequence using yield
S018,Define deforestation,Environmental Studies,3,10,I am not sure about this topic.,Deforestation is removal of forests
S018,Explain pollution,Environmental Studies,4,10,I am not sure about this topic.,Pollution is contamination of environment
S018,Define biodiversity,Environmental Studies,5,10,It is related to Biodiversity is but I forgot details.,Biodiversity is variety of species in ecosystem
S018,Explain deadlock,OS,4,10,I am not sure about this topic.,Deadlock is a situation where processes wait indefinitely
S018,Define orbit,Computers in Space & Astronomy,3,10,I am not sure about this topic.,Orbit is curved path of celestial body
S019,Explain Ayurveda,IKS,2,10,I am not sure about this topic.,Ayurveda is ancient Indian system of medicine
S019,What is process?,OS,7,10,It is related to A process but I forgot details.,A process is an active program with its resources
S019,Explain star formation,Computers in Space & Astronomy,9,10,Stars form from gas and more.,Stars form from gas clouds
S019,Explain list comprehension,Advanced Python,5,10,It is related to List comprehension but I forgot details.,List comprehension provides concise syntax for lists
S019,Define deforestation,Environmental Studies,2,10,I am not sure about this topic.,Deforestation is removal of forests
S019,What is class?,Java,2,10,I am not sure about this topic.,Class defines structure of object
S019,What is threading?,Advanced Python,3,10,I am not sure about this topic.,Threading allows concurrent execution of code
S019,What is scheduling?,OS,10,10,CPU scheduling decides process execution and more.,CPU scheduling decides process execution order
S019,Explain generators,Advanced Python,5,10,It is related to Generators produce but I forgot details.,Generators produce sequence using yield
S019,Explain pandas,Advanced Python,5,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S020,Define kernel,OS,8,10,Kernel manages hardware and system and more.,Kernel manages hardware and system calls
S020,Explain GIL,Advanced Python,8,10,Global Interpreter Lock prevents multiple native threads and more.,Global Interpreter Lock prevents multiple native threads execution
S020,What is telescope?,Computers in Space & Astronomy,8,10,Telescope collects light to observe distant and more.,Telescope collects light to observe distant objects
S020,What is NASA?,Computers in Space & Astronomy,6,10,It is related to NASA is but I forgot details.,NASA is US space agency
S020,Explain multithreading,Advanced Python,4,10,I am not sure about this topic.,Multithreading runs tasks concurrently
S020,Explain exception handling,Java,7,10,It is related to Exception handling but I forgot details.,Exception handling manages runtime errors
S020,Define virtual memory,OS,5,10,It is related to Virtual memory but I forgot details.,Virtual memory uses disk as memory extension
S020,Explain star formation,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Stars form from gas clouds
S020,Define Yoga,IKS,4,10,I am not sure about this topic.,Yoga is physical mental spiritual practice
S020,Explain list comprehension,Advanced Python,5,10,It is related to List comprehension but I forgot details.,List comprehension provides concise syntax for lists
S021,What is class?,Java,10,10,Class defines structure of and more.,Class defines structure of object
S021,Explain encapsulation,Java,10,10,Encapsulation binds data and methods together restricting and more.,Encapsulation binds data and methods together restricting access
S021,Define interface,Java,7,10,It is related to Interface defines but I forgot details.,Interface defines methods without implementation
S021,Define ozone layer,Environmental Studies,2,10,I am not sure about this topic.,Ozone layer protects from UV rays
S021,Explain semaphore,OS,4,10,I am not sure about this topic.,Semaphore controls access to resources
S021,Explain star formation,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Stars form from gas clouds
S021,Explain multithreading,Advanced Python,8,10,Multithreading runs tasks and more.,Multithreading runs tasks concurrently
S021,Define polymorphism,Java,8,10,Polymorphism allows methods to take many forms including and more.,Polymorphism allows methods to take many forms including overriding
S021,Define biodiversity,Environmental Studies,3,10,I am not sure about this topic.,Biodiversity is variety of species in ecosystem
S021,What is IKS?,IKS,5,10,It is related to IKS studies but I forgot details.,IKS studies traditional Indian knowledge systems
S022,Explain file system,OS,10,10,File system organizes and stores and more.,File system organizes and stores data
S022,Explain semaphore,OS,8,10,Semaphore controls access to and more.,Semaphore controls access to resources
S022,Define Charaka,IKS,3,10,I am not sure about this topic.,Charaka was ancient physician
S022,What is async?,Advanced Python,3,10,I am not sure about this topic.,Async allows non blocking execution
S022,Define ozone layer,Environmental Studies,5,10,It is related to Ozone layer but I forgot details.,Ozone layer protects from UV rays
S022,Explain satellites,Computers in Space & Astronomy,8,10,Satellites orbit planets for and more.,Satellites orbit planets for communication
S022,Explain water cycle,Environmental Studies,2,10,I am not sure about this topic.,Water cycle includes evaporation condensation precipitation
S022,Explain Indian mathematics,IKS,4,10,I am not sure about this topic.,Indian mathematics contributed zero and algebra
S022,What is IKS?,IKS,2,10,I am not sure about this topic.,IKS studies traditional Indian knowledge systems
S022,Explain Dharma,IKS,5,10,It is related to Dharma refers but I forgot details.,Dharma refers to duty and ethics
S023,Explain GIL,Advanced Python,6,10,It is related to Global Interpreter but I forgot details.,Global Interpreter Lock prevents multiple native threads execution
S023,Explain carbon footprint,Environmental Studies,8,10,Carbon footprint measures greenhouse and more.,Carbon footprint measures greenhouse gases
S023,Explain Ayurveda,IKS,6,10,It is related to Ayurveda is but I forgot details.,Ayurveda is ancient Indian system of medicine
S023,Define Gurukul,IKS,4,10,I am not sure about this topic.,Gurukul is traditional Indian education system
S023,Define ecosystem,Environmental Studies,7,10,It is related to Ecosystem is but I forgot details.,Ecosystem is interaction of living and nonliving components
S023,Explain pandas,Advanced Python,8,10,Pandas is used for data and more.,Pandas is used for data manipulation
S023,What is process?,OS,5,10,It is related to A process but I forgot details.,A process is an active program with its resources
S023,What is IKS?,IKS,4,10,I am not sure about this topic.,IKS studies traditional Indian knowledge systems
S023,Explain Vedas,IKS,7,10,It is related to Vedas are but I forgot details.,Vedas are ancient sacred Indian scriptures
S023,Explain water cycle,Environmental Studies,6,10,It is related to Water cycle but I forgot details.,Water cycle includes evaporation condensation precipitation
S024,What is telescope?,Computers in Space & Astronomy,3,10,I am not sure about this topic.,Telescope collects light to observe distant objects
S024,Explain paging,OS,4,10,I am not sure about this topic.,Paging divides memory into fixed size pages
S024,Explain satellites,Computers in Space & Astronomy,3,10,I am not sure about this topic.,Satellites orbit planets for communication
S024,Explain OOP principles,Java,8,10,OOP includes encapsulation inheritance polymorphism and more.,OOP includes encapsulation inheritance polymorphism abstraction
S024,Explain OOP concepts,Java,10,10,OOP uses encapsulation inheritance polymorphism and more.,OOP uses encapsulation inheritance polymorphism abstraction
S024,Explain star formation,Computers in Space & Astronomy,3,10,I am not sure about this topic.,Stars form from gas clouds
S024,Explain GIL,Advanced Python,8,10,Global Interpreter Lock prevents multiple native threads and more.,Global Interpreter Lock prevents multiple native threads execution
S024,Explain climate change,Environmental Studies,3,10,I am not sure about this topic.,Climate change refers to long term weather changes
S024,Explain exception handling,Java,7,10,It is related to Exception handling but I forgot details.,Exception handling manages runtime errors
S024,Define deforestation,Environmental Studies,2,10,I am not sure about this topic.,Deforestation is removal of forests
S025,Define universe,Computers in Space & Astronomy,7,10,It is related to Universe includes but I forgot details.,Universe includes all space matter and energy
S025,Define biodiversity,Environmental Studies,4,10,I am not sure about this topic.,Biodiversity is variety of species in ecosystem
S025,Define ecosystem,Environmental Studies,5,10,It is related to Ecosystem is but I forgot details.,Ecosystem is interaction of living and nonliving components
S025,What is async?,Advanced Python,3,10,I am not sure about this topic.,Async allows non blocking execution
S025,What is telescope?,Computers in Space & Astronomy,7,10,It is related to Telescope collects but I forgot details.,Telescope collects light to observe distant objects
S025,Explain exception handling,Java,2,10,I am not sure about this topic.,Exception handling manages runtime errors
S025,Explain deadlock,OS,7,10,It is related to Deadlock is but I forgot details.,Deadlock is a situation where processes wait indefinitely
S025,Define thread,OS,8,10,Thread is smallest unit of execution within a and more.,Thread is smallest unit of execution within a process
S025,What is decorator?,Advanced Python,4,10,I am not sure about this topic.,Decorators modify behavior of functions dynamically
S025,What is class?,Java,5,10,It is related to Class defines but I forgot details.,Class defines structure of object
S026,What is multiprocessing?,Advanced Python,4,10,I am not sure about this topic.,Multiprocessing runs processes in parallel
S026,Define kernel,OS,5,10,It is related to Kernel manages but I forgot details.,Kernel manages hardware and system calls
S026,Explain Dharma,IKS,4,10,I am not sure about this topic.,Dharma refers to duty and ethics
S026,Explain Indian mathematics,IKS,4,10,I am not sure about this topic.,Indian mathematics contributed zero and algebra
S026,Explain pandas,Advanced Python,6,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S026,What is IKS?,IKS,5,10,It is related to IKS studies but I forgot details.,IKS studies traditional Indian knowledge systems
S026,Define polymorphism,Java,5,10,It is related to Polymorphism allows but I forgot details.,Polymorphism allows methods to take many forms including overriding
S026,Explain OOP concepts,Java,8,10,OOP uses encapsulation inheritance polymorphism and more.,OOP uses encapsulation inheritance polymorphism abstraction
S026,What is NASA?,Computers in Space & Astronomy,7,10,It is related to NASA is but I forgot details.,NASA is US space agency
S026,Explain pollution,Environmental Studies,7,10,It is related to Pollution is but I forgot details.,Pollution is contamination of environment
S027,Explain Indian mathematics,IKS,3,10,I am not sure about this topic.,Indian mathematics contributed zero and algebra
S027,Define Gurukul,IKS,3,10,I am not sure about this topic.,Gurukul is traditional Indian education system
S027,What is process?,OS,4,10,I am not sure about this topic.,A process is an active program with its resources
S027,Explain pollution,Environmental Studies,2,10,I am not sure about this topic.,Pollution is contamination of environment
S027,What is NASA?,Computers in Space & Astronomy,3,10,I am not sure about this topic.,NASA is US space agency
S027,Explain lambda functions,Advanced Python,8,10,Lambda functions are small anonymous inline and more.,Lambda functions are small anonymous inline functions
S027,What is class?,Java,8,10,Class defines structure of and more.,Class defines structure of object
S027,What is Sanskrit?,IKS,4,10,I am not sure about this topic.,Sanskrit is classical Indian language used in texts
S027,Explain recycling,Environmental Studies,2,10,I am not sure about this topic.,Recycling converts waste into reusable material
S027,Explain GIL,Advanced Python,9,10,Global Interpreter Lock prevents multiple native threads and more.,Global Interpreter Lock prevents multiple native threads execution
S028,Define orbit,Computers in Space & Astronomy,8,10,Orbit is curved path of celestial and more.,Orbit is curved path of celestial body
S028,Explain list comprehension,Advanced Python,5,10,It is related to List comprehension but I forgot details.,List comprehension provides concise syntax for lists
S028,What is OS?,OS,7,10,It is related to OS manages but I forgot details.,OS manages hardware and software resources
S028,Explain Indian mathematics,IKS,3,10,I am not sure about this topic.,Indian mathematics contributed zero and algebra
